iter	RMSE
0	3.04941943
1	3.04777434
2	3.046336538
3	3.044633566
4	3.043138223
5	3.041613598
6	3.039604112
7	3.036205087
8	3.033145548
9	3.030991923
10	3.029482976
11	3.027372368
12	3.025717114
13	3.024209179
14	3.022998418
15	3.02179329
16	3.020693665
17	3.018589608
18	3.017450747
19	3.014913534
20	3.013040113
21	3.011762508
22	3.010393797
23	3.008731761
24	3.006672168
25	3.005780256
26	3.003842224
27	3.001646273
28	3.000914837
29	2.999852406
30	2.997769138
31	2.996395955
32	2.995304152
33	2.994149626
34	2.992626054
35	2.989985073
36	2.988859569
37	2.987778718
38	2.986254291
39	2.984133432
40	2.982077887
41	2.980644015
42	2.980009592
43	2.977865189
44	2.975974987
45	2.974870407
46	2.973621234
47	2.972076086
48	2.970612851
49	2.968055709
50	2.967178917
51	2.965377033
52	2.962654489
53	2.961057217
54	2.958685203
55	2.956496337
56	2.954950889
57	2.953906344
58	2.952633701
59	2.951050474
60	2.94813002
61	2.945838538
62	2.943580039
63	2.942288708
64	2.941057298
65	2.94057256
66	2.93873519
67	2.936997298
68	2.936001835
69	2.93449483
70	2.932702852
71	2.930806188
72	2.929053347
73	2.927375344
74	2.92608338
75	2.925164334
76	2.923516065
77	2.922214714
78	2.921279585
79	2.920214691
80	2.918928371
81	2.917730133
82	2.916039787
83	2.913771201
84	2.912509347
85	2.910289701
86	2.908179037
87	2.906213624
88	2.905369039
89	2.904046493
90	2.902439768
91	2.900447721
92	2.899118857
93	2.898140262
94	2.89676362
95	2.895913264
96	2.895098367
97	2.893088081
98	2.891747571
99	2.890243052
100	2.888926673
101	2.887492973
102	2.885843214
103	2.884565574
104	2.882749178
105	2.88190693
106	2.880539196
107	2.878083544
108	2.876073797
109	2.874686736
110	2.87323538
111	2.871760427
112	2.869302231
113	2.867680471
114	2.865940517
115	2.864467906
116	2.863792298
117	2.862293969
118	2.860434159
119	2.858859645
120	2.857428905
121	2.855776682
122	2.855139647
123	2.853880344
124	2.852193382
125	2.850530291
126	2.848861665
127	2.84785976
128	2.84503818
129	2.843147907
130	2.841759175
131	2.840561866
132	2.838751387
133	2.837061712
134	2.836191401
135	2.835443111
136	2.834360921
137	2.832155153
138	2.830986953
139	2.829314356
140	2.828185118
141	2.826767968
142	2.826065935
143	2.82464403
144	2.823357547
145	2.820892625
146	2.819779705
147	2.818078922
148	2.816239115
149	2.815171192
150	2.813934115
151	2.812657346
152	2.811832192
153	2.810624148
154	2.809233916
155	2.808161672
156	2.807220858
157	2.805800502
158	2.804621117
159	2.803356785
160	2.801797841
