iter	Passed	Remaining
0	170	84991
1	298	74346
2	438	72562
3	593	73532
4	743	73611
5	880	72505
6	1018	71755
7	1163	71568
8	1290	70399
9	1428	70003
10	1577	70118
11	1726	70219
12	1866	69930
13	2028	70411
14	2165	70014
15	2291	69321
16	2418	68718
17	2545	68156
18	2672	67651
19	2798	67156
20	2928	66790
21	3054	66362
22	3180	65967
23	3308	65622
24	3434	65259
25	3589	65431
26	3733	65406
27	3874	65308
28	4002	65011
29	4129	64697
30	4256	64398
31	4382	64098
32	4509	63823
33	4636	63553
34	4763	63290
35	4894	63081
36	5021	62839
37	5146	62575
38	5274	62352
39	5401	62114
40	5527	61883
41	5655	61673
42	5782	61456
43	5917	61327
44	6045	61129
45	6173	60929
46	6299	60717
47	6426	60517
48	6553	60320
49	6680	60124
50	6808	59940
51	6939	59784
52	7073	59653
53	7201	59476
54	7329	59301
55	7455	59109
56	7582	58930
57	7709	58755
58	7836	58577
59	7967	58427
60	8100	58294
61	8231	58152
62	8359	57983
63	8485	57809
64	8611	57633
65	8737	57457
66	8869	57321
67	9039	57425
68	9190	57409
69	9325	57286
70	9452	57116
71	9580	56948
72	9708	56786
73	9835	56621
74	9966	56475
75	10094	56318
76	10221	56150
77	10347	55982
78	10474	55820
79	10601	55655
80	10727	55490
81	10857	55345
82	10987	55200
83	11113	55039
84	11241	54885
85	11368	54729
86	11495	54569
87	11622	54414
88	11748	54255
89	11878	54113
90	12006	53962
91	12136	53824
92	12300	53829
93	12431	53693
94	12558	53537
95	12685	53386
96	12812	53232
97	12944	53098
98	13075	52962
99	13203	52814
100	13331	52665
101	13456	52506
102	13591	52384
103	13718	52236
104	13846	52088
105	13974	51944
106	14102	51795
107	14230	51649
108	14392	51628
109	14544	51565
110	14684	51460
111	14811	51311
112	14943	51177
113	15070	51029
114	15198	50881
115	15324	50730
116	15451	50582
117	15580	50439
118	15708	50294
119	15837	50151
120	15967	50015
121	16098	49879
122	16224	49727
123	16350	49578
124	16477	49431
125	16604	49285
126	16732	49142
127	16865	49013
128	16992	48871
129	17119	48725
130	17246	48579
131	17372	48432
132	17498	48286
133	17625	48142
134	17751	47995
135	17881	47860
136	18008	47716
137	18145	47597
138	18272	47456
139	18399	47313
140	18525	47168
141	18652	47025
142	18778	46881
143	18908	46746
144	19035	46603
145	19163	46464
146	19296	46337
147	19422	46195
148	19551	46057
149	19680	45921
150	19849	45878
151	19994	45776
152	20144	45686
153	20288	45584
154	20423	45457
155	20553	45322
156	20683	45186
157	20811	45047
158	20947	44924
159	21073	44781
160	21200	44640
